Ref,Qty,Value,Footprint,Link,Part No.,
U110 U306 ,2,MIC5219-3.3BM5,TO_SOT_Packages_SMD:SOT-23-5_Handsolder,<a href="https://www.digikey.com/products/en?keywords=576-1281-1-ND">Link</a>,576-1281-1-ND
U104 ,1,THS9001,TO_SOT_Packages_SMD:SOT-23-6_Handsolder,<a href="https://www.digikey.com/products/en?keywords=%09296-16645-1-ND">Link</a>,296-16645-1-ND
U107 ,1,LM5134B,TO_SOT_Packages_SMD:SOT-23-6_Handsolder,<a href="https://www.digikey.com/products/en?keywords=296-40244-1-ND">Link</a>,296-40244-1-ND
U105 ,1,MIC5219-5.0YM5,TO_SOT_Packages_SMD:SOT-23-5_Handsolder,<a href="https://www.digikey.com/products/en?keywords=576-2770-1-ND">Link</a>,576-2770-1-ND
U101 ,1,MCP4552,Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm_Handsolder,<a href="https://www.digikey.com/products/en?keywords=MCP4552-103E%2FMS-ND">Link</a>,MCP4552-103E/MS-ND
U203 ,1,LTC3600,SMD_Packages:SSOP-12_Pad_Handsolder,<a href="https://www.digikey.com/products/en?keywords=LTC3600EMSE%23PBF-ND">Link</a>,LTC3600EMSE#PBF-ND
U201 ,1,DAC081C085,SMD_Packages:SSOP-8_Handsolder,<a href="https://www.digikey.com/products/en?keywords=DAC081C085CIMM%2FNOPBCT-ND">Link</a>,DAC081C085CIMM/NOPBCT-ND
U202 ,1,OPA171,TO_SOT_Packages_SMD:SOT-23-5_Handsolder,<a href="https://www.digikey.com/products/en?keywords=296-37698-1-ND">Link</a>,296-37698-1-ND
U303 ,1,ATMEGA328P,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,<a href="https://www.digikey.com/products/en?keywords=ATMEGA328P-AURCT-ND">Link</a>,ATMEGA328P-AURCT-ND
U304 ,1,SI5351A,Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm_Handsolder,<a href="https://www.digikey.com/products/en?keywords=336-2399-5-ND">Link</a>,336-2399-5-ND
U301 ,1,DS3231,SMD_Packages:SO16_Handsolder,<a href="https://www.digikey.com/products/en?keywords=DS3231S%23T%26RCT-ND">Link</a>,DS3231S#T&RCT-ND
U305 ,1,74HC1G08,TO_SOT_Packages_SMD:SOT-23-5_Handsolder,<a href="https://www.digikey.com/products/en?keywords=MC74HC1G08DTT1GOSCT-ND">Link</a>,MC74HC1G08DTT1GOSCT-ND
U307 ,1,SN74CB3Q3305,Housings_SSOP:TSSOP-8_3x3mm_Pitch0.65mm_Handsolder,<a href="https://www.digikey.com/products/en?keywords=296-16809-1-ND">Link</a>,296-16809-1-ND
U302 ,1,TS5A3157,TO_SOT_Packages_SMD:SOT-363_Handsolder,<a href="https://www.digikey.com/products/en?keywords=296-17588-1-ND">Link</a>,296-17588-1-ND
W116 J501 J504 J506 J508 ,5,GND,Pin_Headers:Pin_Header_Straight_1x01,np,np
W114 ,1,GND,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,np,np
W107 ,1,P,Pin_Headers:Pin_Header_Straight_1x01,np,np
W102 ,1,P1,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W104 ,1,P2,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W110 W103 ,2,P3,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W105 ,1,T2,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W108 ,1,T4,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W111 ,1,T5,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W113 ,1,T6,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W117 ,1,T7,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W119 ,1,V2,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W106 ,1,T3,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W101 ,1,V3,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W201 ,1,Vin,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,np,np
W204 ,1,V4,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W203 ,1,+12V,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W202 ,1,Vbat,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W205 ,1,+12VPS,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W301 W302 W313 W314 W315 W316 W309 W310 W311 W312 ,10,TEST_1P,Measurement_Points:Measurement_Point_Square-SMD-Pad_Small,np,np
W307 W308 ,2,CONN_01X01,Pin_Headers:Pin_Header_Straight_1x01,np,np
W303 ,1,Vbb,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
X301 ,1,ASTX-H11-25.MHZ,Crystals:ASTX-H11,<a href="https://www.digikey.com/products/en?keywords=535-12039-1-ND">Link</a>,535-12039-1-ND
